date,workout,lift,weight,sets,reps,bodyweight,notes
2026-06-09,A,squat,225,3,5,182,felt strong
2026-06-09,A,press,115,3,5,,
2026-06-09,A,deadlift,275,1,5,,across the back
2026-06-11,B,squat,230,3,5,182,
2026-06-11,B,bench,175,3,5,,
2026-06-11,B,deadlift,285,1,5,,
2026-06-13,A,squat,235,3,5,181,grippy last set
2026-06-13,A,press,117.5,3,5,,
2026-06-13,A,deadlift,295,1,5,,
2026-06-16,B,squat,240,3,5,183,
2026-06-16,B,bench,180,3,5,,
2026-06-16,B,deadlift,305,1,5,,tough but clean
2026-06-18,A,squat,245,3,5,182,
2026-06-18,A,press,120,3,5,,grindy
2026-06-18,A,deadlift,315,1,5,,
2026-06-20,B,squat,250,3,5,183,squat moving well
2026-06-20,B,bench,182.5,3,5,,
2026-06-20,B,deadlift,325,1,5,,
